"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1778.7,,
"AUS","Australia","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1736.7,,
"AUS","Australia","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1731.7,,
"AUS","Australia","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1735.8,,
"AUS","Australia","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1734.5,,
"AUS","Australia","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1729.2,,
"AUS","Australia","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1720.5,,
"AUS","Australia","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1712.5,,
"AUS","Australia","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1717.2,,
"AUS","Australia","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1690,,
"AUS","Australia","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1691.5,,
"AUS","Australia","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1699.5,,
"AUS","Australia","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1678.6,,
"AUS","Australia","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1662.7,,
"AUS","Australia","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1663.6,,
"AUS","Australia","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1665,,
"AUT","Austria","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1509,,
"AUT","Austria","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1522,,
"AUT","Austria","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1495,,
"AUT","Austria","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1514,,
"AUT","Austria","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1548,,
"AUT","Austria","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1516,,
"AUT","Austria","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1504,,
"AUT","Austria","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1526,,
"AUT","Austria","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1522,,
"AUT","Austria","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1491,,
"AUT","Austria","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1470,,
"AUT","Austria","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1462,,
"AUT","Austria","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1457,,
"AUT","Austria","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1445,,
"AUT","Austria","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1440,,
"AUT","Austria","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1429,,
"AUT","Austria","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1807.4,,
"AUT","Austria","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1794.6,,
"AUT","Austria","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1792.2,,
"AUT","Austria","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1783.8,,
"AUT","Austria","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1786.8,,
"AUT","Austria","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1764,,
"AUT","Austria","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1746.2,,
"AUT","Austria","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1736,,
"AUT","Austria","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1728.5,,
"AUT","Austria","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1673,,
"AUT","Austria","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1668.6,,
"AUT","Austria","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1675.9,,
"AUT","Austria","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1652.9,,
"AUT","Austria","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1636.7,,
"AUT","Austria","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1629.4,,
"AUT","Austria","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1624.9,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1459,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1455,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1447,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1449,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1444,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1448,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1421,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1420,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1430,,
