pdate,video_id,channelId,title,channelTitle,candidate
2017-01-24,OvQC2IjUQnU,UCuhCJL24EDfAPTX2a_5oKNg,"달라진 안철수 전 국민의당 상임공동대표, KBS 대선 주자에게 듣는다 (+시간별 질문 List) / 2017. 1. 24",뭉구,안철수
2017-01-21,xkadfdp98x4,UCs8WGCFy8iJWtxEGiJrcsdw,"[뜨끔주의] 김제동, 내가 만나 본 대선후보들은.. | 이재명, 박원순, 안철수, 문재인, 반기문, 유승민 그리고 안희정",김어준,안철수
2016-12-05,9sjku4oYt-Y,UCsU-I-vHLiaMfV_ceaYz5rQ,"[인터뷰] 안철수 ""박 대통령 국민 신뢰 잃어…이달 퇴진 선언해도 탄핵""",JTBC News,안철수
2017-01-16,qL-WKr15sTI,UCkinYTS9IHqOEwR1Sze2JTw,"[단독] 안철수 ""대선 후보 된다면, 나와 문재인의 대결 될 것"" / SBS",SBS 뉴스,안철수
2016-12-03,FmiJgSRrkc4,UCLiK08tsWKL5bNoz1f8sHsw,"대구에서 된통 혼난 안철수, (사회자 카리스마 쩔어~)",MediaVOP,안철수
2017-01-22,Gq9dH9JvuWA,UClAfLVQYZSLrMAQQ_SXPVZw,"안철수를 향한 청문회 ""대권 도전, 예스? 노?""",OhmynewsTV,안철수
2017-01-13,vDzw7WlW6Ps,UCn-4MP_024Y29Ea7PKiVCmg,[안습]  안철수의 몰락..박지원에 버림받다  -정청래 손혜원-,시민의 justice,안철수
2017-01-04,Dw2Koxwewc4,UCHXvjavEtkPFJCfGlm0wTXw,"[경향신문] 안철수 “정권교체 거스를 수 없어···대선, 문재인과 나의 대결 될 것”",thekyunghyangtv,안철수
2017-01-17,m-lcLpaHFdU,UCx2eRsOVWYmM-StX_lu7axQ,예고된 배신. 안철수는 정말로 박지원이 어떤 사람인지 몰랐을까?,Veritas Speak X 단박에 한국사,안철수
2016-09-29,bG7vzM3h45o,UCn-4MP_024Y29Ea7PKiVCmg,안철수가 무엇을 하려는지 모르겠다  - 유시민 -,시민의 justice,안철수
2017-01-06,7hhgnEVc3mg,UCx2eRsOVWYmM-StX_lu7axQ,"안철수는 몰락할 수 밖에 없었다. 박지원, 주승용과 함께 새정치를 한다는 망상",Veritas Speak 시사전문,안철수
2016-06-28,z421yyNzgM0,UCx2eRsOVWYmM-StX_lu7axQ,도올 김용옥이 예언한 안철수 100% 적중,Veritas Speak 시사전문,안철수
2016-12-07,gWYF0VYHaoU,UClAfLVQYZSLrMAQQ_SXPVZw,"[풀영상] 안철수 ""탄핵 부결되면 횃불이 여의도 불사를 것""",OhmynewsTV,안철수
2016-11-03,A5gY576Ci5w,UCRYOOiIwYH73Y1n2HBCZfKQ,황상민의 쥐라기 프로젝트-안철수는 스스로 착하고 훌륭하고 잘난사람이다.,Rainbow Snail,안철수
2017-01-22,oXk-vNerAuI,UCXVQjHnJcNxBDChwwQu0XxQ,비교체험 극과 극 문재인 VS 안철수 광주에서 대격돌,대한민국방송 KOREA TV,안철수
2016-12-04,Nllto1UidM0,UCXVQjHnJcNxBDChwwQu0XxQ,[비교체험 극과 극] 안철수 대구 촛불 VS 문재인 광주 촛불 집회 참관기,대한민국방송 KOREA TV,안철수
2017-01-07,NlGyDEfETjM,UCH9Q_K1Hm0gPWqcVGIQmlSw,안희정 핵사이다 안철수는 벌써 아웃.반기문은 절대 안되는 이유,친절한정치씨,안철수
2016-05-23,7twY0ztm__s,UC0ww4bZ-xyay9Sjf59a-iwA,안철수의 수준,Ahn Sniper,안철수
2016-12-30,Ig4mM4VFhcY,UCs18sMwqTCMBmTqX0b2-w6A,안철수 원내대표 경선 후 칩거 중. 지금에야 바지된 걸 감지한 건가?,유재일,안철수
