fdate,fan_likes,person
2016-01-01,5367.0,손학규
2016-01-02,5374.0,손학규
2016-01-03,5377.0,손학규
2016-01-04,5382.0,손학규
2016-01-05,5389.0,손학규
2016-01-06,5394.0,손학규
2016-01-07,5401.0,손학규
2016-01-08,5409.0,손학규
2016-01-09,5412.0,손학규
2016-01-10,5417.0,손학규
2016-01-11,5423.0,손학규
2016-01-12,5430.0,손학규
2016-01-13,5434.0,손학규
2016-01-14,5440.0,손학규
2016-01-15,5445.0,손학규
2016-01-16,5445.0,손학규
2016-01-17,5443.0,손학규
2016-01-18,5455.0,손학규
2016-01-19,5453.0,손학규
2016-01-20,5458.0,손학규
2016-01-21,5469.0,손학규
2016-01-22,5476.0,손학규
2016-01-23,5482.0,손학규
2016-01-24,5485.0,손학규
2016-01-25,5487.0,손학규
2016-01-26,5490.0,손학규
2016-01-27,5495.0,손학규
2016-01-28,5501.0,손학규
2016-01-29,5504.0,손학규
2016-01-30,5503.0,손학규
2016-01-31,5503.0,손학규
2016-02-01,5505.0,손학규
2016-02-02,5506.0,손학규
2016-02-03,5506.0,손학규
2016-02-04,5505.0,손학규
2016-02-05,5505.0,손학규
2016-02-06,5513.0,손학규
2016-02-07,5519.0,손학규
2016-02-08,5525.0,손학규
2016-02-09,5526.0,손학규
2016-02-10,5530.0,손학규
2016-02-11,5529.0,손학규
2016-02-12,5532.0,손학규
2016-02-13,5540.0,손학규
2016-02-14,5540.0,손학규
2016-02-15,5540.0,손학규
2016-02-16,5540.0,손학규
2016-02-17,5540.0,손학규
2016-02-18,5537.0,손학규
2016-02-19,5541.0,손학규
2016-02-20,5543.0,손학규
2016-02-21,5544.0,손학규
2016-02-22,5543.0,손학규
2016-02-23,5544.0,손학규
2016-02-24,5544.0,손학규
2016-02-25,5546.0,손학규
2016-02-26,5547.0,손학규
2016-02-27,5550.0,손학규
2016-02-28,5550.0,손학규
2016-02-29,5551.0,손학규
2016-03-01,5550.0,손학규
2016-03-02,5549.0,손학규
2016-03-03,5548.0,손학규
2016-03-04,5548.0,손학규
2016-03-05,5549.0,손학규
2016-03-06,5548.0,손학규
2016-03-07,5548.0,손학규
2016-03-08,5548.0,손학규
2016-03-09,5547.0,손학규
2016-03-10,5547.0,손학규
2016-03-11,5547.0,손학규
2016-03-12,5550.0,손학규
2016-03-13,5551.0,손학규
2016-03-14,5551.0,손학규
2016-03-15,5551.0,손학규
2016-03-16,5549.0,손학규
2016-03-17,5551.0,손학규
2016-03-18,5550.0,손학규
2016-03-19,5548.0,손학규
2016-03-20,5547.0,손학규
2016-03-21,5547.0,손학규
2016-03-22,5549.0,손학규
2016-03-23,5549.0,손학규
2016-03-24,5549.0,손학규
2016-03-25,5551.0,손학규
2016-03-26,5550.0,손학규
2016-03-27,5548.0,손학규
2016-03-28,5550.0,손학규
2016-03-29,5548.0,손학규
2016-03-30,5548.0,손학규
2016-04-01,5553.0,손학규
2016-04-02,5554.0,손학규
2016-04-03,5553.0,손학규
2016-04-04,5550.0,손학규
2016-04-05,5551.0,손학규
2016-04-06,5552.0,손학규
2016-04-07,5553.0,손학규
2016-04-08,5556.0,손학규
2016-04-09,5559.0,손학규
2016-04-10,5557.0,손학규
2016-04-11,5557.0,손학규
2016-04-12,5557.0,손학규
2016-04-13,5556.0,손학규
2016-04-14,5560.0,손학규
2016-04-15,5561.0,손학규
2016-04-16,5563.0,손학규
2016-04-17,5565.0,손학규
2016-04-18,5566.0,손학규
2016-04-19,5567.0,손학규
2016-04-20,5569.0,손학규
2016-04-21,5568.0,손학규
2016-04-22,5569.0,손학규
2016-04-23,5571.0,손학규
2016-04-24,5571.0,손학규
2016-04-25,5571.0,손학규
2016-04-26,5573.0,손학규
2016-04-27,5572.0,손학규
2016-04-28,5572.0,손학규
2016-04-29,5572.0,손학규
2016-04-30,5572.0,손학규
2016-05-01,5574.0,손학규
2016-05-02,5575.0,손학규
2016-05-03,5574.0,손학규
2016-05-04,5574.0,손학규
2016-05-05,5575.0,손학규
2016-05-06,5576.0,손학규
2016-05-07,5575.0,손학규
2016-05-08,5575.0,손학규
2016-05-09,5578.0,손학규
2016-05-10,5577.0,손학규
2016-05-11,5577.0,손학규
2016-05-12,5580.0,손학규
2016-05-13,5579.0,손학규
2016-05-14,5576.0,손학규
2016-05-15,5577.0,손학규
2016-05-16,5579.0,손학규
2016-05-17,5580.0,손학규
2016-05-18,5580.0,손학규
2016-05-19,5581.0,손학규
2016-05-20,5582.0,손학규
2016-05-21,5586.0,손학규
2016-05-22,5585.0,손학규
2016-05-23,5587.0,손학규
2016-05-24,5590.0,손학규
2016-05-25,5590.0,손학규
2016-05-26,5588.0,손학규
2016-05-27,5589.0,손학규
2016-05-28,5589.0,손학규
2016-05-29,5592.0,손학규
2016-05-30,5590.0,손학규
2016-05-31,5589.0,손학규
2016-06-01,5588.0,손학규
2016-06-02,5588.0,손학규
2016-06-03,5589.0,손학규
2016-06-04,5591.0,손학규
2016-06-05,5592.0,손학규
2016-06-06,5595.0,손학규
2016-06-07,5598.0,손학규
2016-06-08,5599.0,손학규
2016-06-09,5600.0,손학규
2016-06-10,5603.0,손학규
2016-06-11,5604.0,손학규
2016-06-12,5601.0,손학규
2016-06-13,5602.0,손학규
2016-06-14,5606.0,손학규
2016-06-15,5604.0,손학규
2016-06-16,5606.0,손학규
2016-06-17,5606.0,손학규
2016-06-18,5606.0,손학규
2016-06-19,5606.0,손학규
2016-06-20,5608.0,손학규
2016-06-21,5609.0,손학규
2016-06-22,5610.0,손학규
2016-06-23,5612.0,손학규
2016-06-24,5613.0,손학규
2016-06-25,5613.0,손학규
2016-06-26,5612.0,손학규
2016-06-27,5613.0,손학규
2016-06-28,5613.0,손학규
2016-06-29,5613.0,손학규
2016-06-30,5615.0,손학규
2016-07-01,5620.0,손학규
2016-07-02,5617.0,손학규
2016-07-03,5617.0,손학규
2016-07-04,5619.0,손학규
2016-07-05,5619.0,손학규
2016-07-06,5620.0,손학규
2016-07-07,5619.0,손학규
2016-07-08,5618.0,손학규
2016-07-09,5620.0,손학규
2016-07-10,5620.0,손학규
2016-07-11,5623.0,손학규
2016-07-12,5622.0,손학규
2016-07-13,5622.0,손학규
