fdate,person,survey
2016-01-01,손학규,NA
2016-01-08,손학규,NA
2016-01-15,손학규,NA
2016-01-22,손학규,NA
2016-01-29,손학규,NA
2016-02-05,손학규,NA
2016-02-12,손학규,NA
2016-02-19,손학규,NA
2016-02-26,손학규,NA
2016-03-04,손학규,NA
2016-03-11,손학규,NA
2016-03-18,손학규,NA
2016-03-25,손학규,NA
2016-04-01,손학규,NA
2016-04-08,손학규,NA
2016-04-15,손학규,NA
2016-04-22,손학규,NA
2016-04-29,손학규,NA
2016-05-06,손학규,NA
2016-05-13,손학규,NA
2016-05-20,손학규,NA
2016-05-27,손학규,NA
2016-06-03,손학규,NA
2016-06-10,손학규,NA
2016-06-17,손학규,NA
2016-06-24,손학규,NA
2016-07-01,손학규,NA
2016-07-08,손학규,NA
2016-07-15,손학규,3.9
2016-07-22,손학규,4.3
2016-07-29,손학규,4.5
2016-08-05,손학규,3.8
2016-08-12,손학규,4.1
2016-08-19,손학규,3.5
2016-08-26,손학규,4.3
2016-09-02,손학규,4.2
2016-09-09,손학규,3.3
2016-09-16,손학규,3.8
2016-09-23,손학규,3.1
2016-09-30,손학규,3.3
2016-10-07,손학규,3.0
2016-10-14,손학규,3.4
2016-10-21,손학규,3.2
2016-10-28,손학규,3.9
2016-11-04,손학규,4.0
2016-11-11,손학규,3.7
2016-11-18,손학규,4.0
2016-11-25,손학규,4.4
2016-12-02,손학규,3.8
2016-12-09,손학규,3.4
2016-12-16,손학규,3.5
2016-12-23,손학규,3.5
2017-01-01,손학규,3.0
2017-01-08,손학규,2.3
2017-01-15,손학규,1.8
2017-01-22,손학규,2.1
2017-01-29,손학규,2.3
2017-02-05,손학규,3.2
2017-02-12,손학규,2.6
2017-02-19,손학규,1.7
2016-01-01,문재인,18.0
2016-01-08,문재인,18.9
2016-01-15,문재인,20.8
2016-01-22,문재인,18.8
2016-01-29,문재인,20.5
2016-02-05,문재인,20.3
2016-02-12,문재인,22.2
2016-02-19,문재인,19.6
2016-02-26,문재인,21.3
2016-03-04,문재인,21.2
2016-03-11,문재인,21.5
2016-03-18,문재인,21.4
2016-03-25,문재인,20.7
2016-04-01,문재인,20.1
2016-04-08,문재인,24.7
2016-04-15,문재인,27.0
2016-04-22,문재인,25.2
2016-04-29,문재인,27.1
2016-05-06,문재인,25.7
2016-05-13,문재인,24.2
2016-05-20,문재인,21.5
2016-05-27,문재인,23.2
2016-06-03,문재인,24.1
2016-06-10,문재인,21.9
2016-06-17,문재인,21.4
2016-06-24,문재인,19.3
2016-07-01,문재인,19.5
2016-07-08,문재인,18.9
2016-07-15,문재인,19.9
2016-07-22,문재인,20.5
2016-07-29,문재인,19.0
2016-08-05,문재인,19.2
2016-08-12,문재인,19.2
2016-08-19,문재인,17.9
2016-08-26,문재인,19.0
2016-09-02,문재인,18.0
2016-09-09,문재인,19.0
2016-09-16,문재인,18.5
2016-09-23,문재인,18.4
2016-09-30,문재인,17.9
2016-10-07,문재인,20.1
2016-10-14,문재인,18.9
2016-10-21,문재인,20.3
2016-10-28,문재인,20.9
2016-11-04,문재인,21.4
2016-11-11,문재인,20.4
2016-11-18,문재인,21.0
2016-11-25,문재인,20.8
2016-12-02,문재인,23.1
2016-12-09,문재인,23.7
2016-12-16,문재인,23.1
2016-12-23,문재인,23.0
2017-01-01,문재인,26.8
2017-01-08,문재인,26.1
2017-01-15,문재인,29.1
2017-01-22,문재인,28.4
2017-01-29,문재인,31.2
2017-02-05,문재인,32.9
2017-02-12,문재인,32.5
2017-02-19,문재인,32.4
2016-01-01,안철수,18.1
2016-01-08,안철수,17.8
