AGE,AREA_KM2,NAME,POP,FIPS,time,SEX,abs_pop
0.0,96920.0,"Korea, South",331709.0,KS,1990.0,Male,331709.0
1.0,96920.0,"Korea, South",346792.0,KS,1990.0,Male,346792.0
2.0,96920.0,"Korea, South",343580.0,KS,1990.0,Male,343580.0
3.0,96920.0,"Korea, South",336480.0,KS,1990.0,Male,336480.0
4.0,96920.0,"Korea, South",352210.0,KS,1990.0,Male,352210.0
5.0,96920.0,"Korea, South",343526.0,KS,1990.0,Male,343526.0
6.0,96920.0,"Korea, South",367410.0,KS,1990.0,Male,367410.0
7.0,96920.0,"Korea, South",396212.0,KS,1990.0,Male,396212.0
8.0,96920.0,"Korea, South",425946.0,KS,1990.0,Male,425946.0
9.0,96920.0,"Korea, South",447280.0,KS,1990.0,Male,447280.0
10.0,96920.0,"Korea, South",437893.0,KS,1990.0,Male,437893.0
11.0,96920.0,"Korea, South",419913.0,KS,1990.0,Male,419913.0
12.0,96920.0,"Korea, South",385277.0,KS,1990.0,Male,385277.0
13.0,96920.0,"Korea, South",395439.0,KS,1990.0,Male,395439.0
14.0,96920.0,"Korea, South",396827.0,KS,1990.0,Male,396827.0
15.0,96920.0,"Korea, South",418215.0,KS,1990.0,Male,418215.0
16.0,96920.0,"Korea, South",451069.0,KS,1990.0,Male,451069.0
17.0,96920.0,"Korea, South",456182.0,KS,1990.0,Male,456182.0
18.0,96920.0,"Korea, South",464647.0,KS,1990.0,Male,464647.0
19.0,96920.0,"Korea, South",455890.0,KS,1990.0,Male,455890.0
20.0,96920.0,"Korea, South",475236.0,KS,1990.0,Male,475236.0
21.0,96920.0,"Korea, South",495616.0,KS,1990.0,Male,495616.0
22.0,96920.0,"Korea, South",483704.0,KS,1990.0,Male,483704.0
23.0,96920.0,"Korea, South",413035.0,KS,1990.0,Male,413035.0
24.0,96920.0,"Korea, South",405320.0,KS,1990.0,Male,405320.0
25.0,96920.0,"Korea, South",400175.0,KS,1990.0,Male,400175.0
26.0,96920.0,"Korea, South",407490.0,KS,1990.0,Male,407490.0
27.0,96920.0,"Korea, South",433998.0,KS,1990.0,Male,433998.0
