fdate,AE,AR,AU,BD,BO,BR,CA,CL,CN,CO,DE,DZ,EC,EG,ES,FR,GB,HK,ID,IN,IQ,IT,JP,KH,KP,KR,MA,MM,MN,MX,MY,NL,NP,NZ,PE,PH,RU,SA,SG,TH,TN,TR,TW,US,VN,PK
2017-01-01,264,129,1972,106,103,294,1824,111,981,126,826,153,121,207,139,435,712,319,1296,295,124,184,2125,682,103,431153,233,272,253,632,646,147,132,505,628,1462,159,126,473,959,163,207,581,8529,1742,0
2017-01-02,262,129,1974,106,103,295,1833,110,975,128,821,153,121,208,139,434,717,318,1300,293,124,187,2124,685,104,431550,233,271,253,632,645,147,132,505,628,1458,159,126,470,960,163,207,580,8539,1745,0
2017-01-03,261,129,1971,107,102,294,1846,109,970,125,823,152,121,207,139,434,711,316,1300,292,124,189,2127,684,100,431934,231,272,253,630,645,147,133,506,629,1462,159,127,471,960,163,206,584,8553,1745,0
2017-01-04,265,129,1979,108,101,296,1845,110,967,124,822,152,121,207,136,435,718,317,1301,294,123,187,2132,684,101,432372,230,272,253,631,643,147,132,506,629,1463,158,125,473,959,163,205,581,8559,1753,0
2017-01-05,264,129,1988,108,101,297,1847,111,966,123,816,152,121,206,140,433,716,317,1304,294,123,187,2132,683,101,432756,230,272,251,633,642,146,132,506,629,1461,158,127,472,957,163,204,580,8562,1749,0
2017-01-06,267,130,1982,109,101,297,1854,110,963,125,817,152,121,207,141,433,718,314,1302,292,123,189,2126,683,101,433277,230,273,253,632,641,147,132,504,630,1462,155,126,474,959,163,204,578,8549,1754,0
2017-01-07,269,130,1994,109,103,297,1861,109,960,125,820,152,121,207,139,436,712,311,1306,293,123,189,2121,684,102,433897,230,272,252,634,645,148,133,502,630,1467,154,128,470,957,163,204,576,8557,1753,0
2017-01-08,269,130,1994,109,103,297,1862,109,963,125,821,153,121,207,139,436,715,311,1306,294,123,190,2123,684,102,434213,230,272,252,635,645,149,133,503,630,1468,154,128,470,955,163,204,577,8571,1757,0
2017-01-09,268,130,1986,110,103,297,1866,109,962,124,820,153,121,207,142,436,716,311,1309,290,123,191,2118,686,103,434487,230,272,250,636,643,147,133,503,632,1465,155,128,471,954,163,204,575,8574,1756,0
2017-01-10,270,131,1979,111,103,299,1868,108,963,125,819,151,121,207,143,442,712,313,1307,290,124,188,2115,685,99,434709,231,272,249,637,643,145,133,507,632,1471,155,129,472,955,164,205,575,8579,1759,0
2017-01-11,270,130,1983,111,104,297,1874,109,961,125,823,150,120,206,141,441,716,310,1308,290,124,189,2113,686,98,434942,231,273,249,640,645,148,133,505,631,1469,156,128,478,959,164,206,579,8579,1761,0
2017-01-12,271,132,1980,112,105,296,1874,109,964,127,821,150,121,206,141,447,713,314,1306,294,124,187,2119,687,99,435314,231,273,250,640,646,143,134,504,631,1471,156,128,478,962,164,206,579,8601,1764,0
2017-01-13,270,129,1977,113,105,298,1881,111,965,127,823,151,121,207,141,445,716,314,1305,294,124,184,2124,686,98,435855,231,272,249,641,645,143,133,502,631,1476,158,129,485,961,164,206,578,8607,1769,0
2017-01-14,270,129,1977,113,105,299,1883,111,966,127,824,151,121,207,141,446,716,314,1305,294,124,184,2127,686,98,436189,231,272,249,641,644,143,133,503,631,1476,158,129,487,963,164,205,578,8616,1770,0
2017-01-15,272,129,1975,113,105,299,1895,111,962,125,826,152,120,207,145,452,720,315,1310,297,124,184,2131,686,0,436489,231,271,250,642,648,145,131,507,631,1489,154,131,491,969,164,204,579,8621,1772,98
2017-01-16,273,129,1979,112,105,299,1894,111,962,125,827,151,120,207,145,452,720,315,1310,298,124,184,2132,685,0,436781,231,271,250,642,648,145,131,507,630,1489,154,131,492,969,164,204,579,8629,1774,98
2017-01-17,268,131,1977,111,105,300,1906,110,959,127,825,151,120,207,145,454,720,320,1310,298,124,185,2143,684,102,437098,231,271,250,637,649,145,131,511,630,1498,154,130,493,978,164,203,579,8653,1777,0
2017-01-18,268,131,1980,113,106,300,1900,111,959,126,824,149,120,207,144,455,721,322,1312,298,124,185,2145,684,104,437590,231,271,249,643,651,145,132,512,630,1503,151,130,500,987,164,203,584,8689,1781,0
2017-01-19,273,132,1984,114,106,296,1907,111,960,125,828,148,120,208,149,458,726,323,1310,303,124,184,2153,683,104,437884,230,271,250,644,651,145,133,510,630,1510,154,130,501,986,163,206,584,8702,1791,0
2017-01-20,274,132,1984,115,107,298,1911,112,961,127,828,147,120,209,150,456,733,325,1306,301,124,187,2157,683,105,438253,230,271,249,643,650,147,131,507,630,1518,152,131,505,983,163,207,585,8723,1788,0
2017-01-21,274,133,1986,116,107,297,1912,112,961,127,829,147,120,209,150,457,733,325,1305,301,124,187,2159,683,105,438436,230,272,249,643,650,147,131,507,630,1520,152,131,507,985,163,207,585,8731,1790,0
2017-01-22,274,133,1991,117,107,297,1917,112,952,128,835,147,120,209,153,455,738,322,1303,303,124,189,2170,686,105,438718,229,271,250,640,653,144,132,514,626,1527,151,130,509,998,163,206,585,8767,1803,0
2017-01-23,272,136,1995,116,106,297,1922,112,951,128,841,144,120,209,157,454,747,324,1303,307,124,192,2168,686,104,439348,229,272,251,642,654,145,132,516,626,1530,154,132,507,1004,162,206,584,8773,1811,0
2017-01-24,273,137,1997,117,106,296,1921,113,952,129,840,143,120,209,161,456,748,321,1301,305,123,193,2180,687,102,439847,229,273,253,644,655,148,134,515,626,1536,153,132,512,998,162,206,585,8800,1813,0
2017-01-25,275,139,2008,118,105,296,1927,112,949,129,841,143,120,208,160,457,749,323,1304,308,123,195,2189,688,107,440114,229,272,257,645,656,146,135,516,625,1544,155,133,512,999,162,208,589,8833,1821,0
