dir_file_unlists,emd,v_station,votes,ballots,saenuri,minju,people,justice,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,invalid,abstain
03_data/비례대표/10강원/개표상황(투표구별)_강릉시.xlsx,합계,NA,177395,96653,43525,21222,17121,4881,1628,716,103,85,56,62,68,158,403,1327,539,340,83,14,117,66,558,93072,3581,80742
03_data/비례대표/10강원/개표상황(투표구별)_고성군.xlsx,합계,NA,25724,15063,7546,2983,2267,524,298,174,30,13,5,9,14,23,80,53,56,52,9,2,26,16,100,14280,783,10661
03_data/비례대표/10강원/개표상황(투표구별)_동해시.xlsx,합계,NA,76018,44166,19523,8287,8339,2352,1563,520,79,62,34,41,32,102,277,195,179,188,66,11,91,46,418,42405,1761,31852
03_data/비례대표/10강원/개표상황(투표구별)_삼척시.xlsx,합계,NA,59483,35977,16560,6627,5866,1735,1175,479,59,50,24,31,35,78,203,170,234,174,59,18,49,63,450,34139,1838,23506
03_data/비례대표/10강원/개표상황(투표구별)_속초시.xlsx,합계,NA,67161,33333,14470,7207,6784,1980,557,280,27,33,19,19,18,55,175,87,167,95,23,3,109,16,126,32250,1083,33828
03_data/비례대표/10강원/개표상황(투표구별)_양구군.xlsx,합계,NA,19572,12012,5411,2680,1961,407,268,178,43,27,12,19,12,29,88,33,57,56,33,3,16,16,111,11460,552,7560
03_data/비례대표/10강원/개표상황(투표구별)_양양군.xlsx,합계,NA,23742,14125,7182,2542,2169,614,288,129,21,7,5,8,17,28,71,46,84,31,9,6,12,17,100,13386,739,9617
03_data/비례대표/10강원/개표상황(투표구별)_영월군.xlsx,합계,NA,34690,21635,9694,4054,3541,959,986,282,41,26,14,12,20,55,162,63,124,98,29,8,30,31,267,20496,1139,13055
03_data/비례대표/10강원/개표상황(투표구별)_원주시.xlsx,합계,NA,268266,150813,53863,41245,32605,9836,3866,961,128,137,54,49,57,160,799,460,910,746,108,16,70,87,480,146637,4176,117453
03_data/비례대표/10강원/개표상황(투표구별)_인제군.xlsx,합계,NA,27473,16581,7417,3586,2854,661,312,253,38,34,13,10,14,44,92,58,81,71,23,8,18,24,155,15766,815,10892
03_data/비례대표/10강원/개표상황(투표구별)_정선군.xlsx,합계,NA,33741,20387,9101,4027,2868,926,771,300,35,27,19,7,22,46,97,86,109,112,27,13,22,54,284,18953,1434,13354
03_data/비례대표/10강원/개표상황(투표구별)_철원군.xlsx,합계,NA,40181,23152,10353,4436,3924,976,890,345,46,52,15,24,19,54,213,61,118,102,42,4,20,26,254,21974,1178,17029
03_data/비례대표/10강원/개표상황(투표구별)_춘천시.xlsx,합계,NA,226365,133843,49059,35893,26936,9478,3780,921,141,147,49,56,74,156,742,331,1020,304,99,20,58,69,479,129812,4031,92522
03_data/비례대표/10강원/개표상황(투표구별)_태백시.xlsx,합계,NA,39481,22396,9953,4549,3713,1177,827,295,28,23,18,10,13,44,101,72,79,91,34,5,13,32,225,21302,1094,17085
03_data/비례대표/10강원/개표상황(투표구별)_평창군.xlsx,합계,NA,37332,22626,10784,4135,3525,922,789,357,44,28,19,19,20,67,110,84,90,83,26,13,12,38,279,21444,1182,14706
03_data/비례대표/10강원/개표상황(투표구별)_홍천군.xlsx,합계,NA,59377,36958,15795,8924,5927,1502,845,487,64,34,34,18,35,55,210,126,177,284,30,11,30,56,287,34931,2027,22419
03_data/비례대표/10강원/개표상황(투표구별)_화천군.xlsx,합계,NA,22473,13972,6402,2793,2292,635,347,217,31,28,11,14,9,37,78,32,92,52,44,5,7,23,130,13279,693,8501
03_data/비례대표/10강원/개표상황(투표구별)_횡성군.xlsx,합계,NA,39384,23199,10369,4098,3867,892,1081,331,44,24,16,15,22,61,145,102,148,135,42,15,23,43,298,21771,1428,16185
03_data/비례대표/11충북/개표상황(투표구별)_괴산군.xlsx,합계,NA,34201,17717,7944,3839,2859,749,327,163,22,10,17,10,12,27,87,39,160,98,14,94,25,25,141,16662,1055,16484
03_data/비례대표/11충북/개표상황(투표구별)_단양군.xlsx,합계,NA,26722,16102,7917,3144,2537,616,394,130,26,11,4,10,4,35,97,37,61,16,11,54,17,39,119,15279,823,10620
03_data/비례대표/11충북/개표상황(투표구별)_보은군.xlsx,합계,NA,29921,19695,8578,4852,3102,711,339,225,26,16,27,7,21,40,88,49,70,56,15,90,20,36,136,18504,1191,10226
03_data/비례대표/11충북/개표상황(투표구별)_영동군.xlsx,합계,NA,43528,27682,12175,6456,4570,1050,567,315,37,28,65,15,23,44,147,73,94,139,20,70,23,50,212,26173,1509,15846
03_data/비례대표/11충북/개표상황(투표구별)_옥천군.xlsx,합계,NA,44793,28818,11867,7538,4564,1045,578,320,44,19,31,22,37,45,122,80,177,209,31,93,26,60,211,27119,1699,15975
