id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,vid_id
OvQC2IjUQnU,9446,256,20,0,67,OvQC2IjUQnU
xkadfdp98x4,192176,1274,194,0,645,xkadfdp98x4
9sjku4oYt-Y,82726,672,150,0,625,9sjku4oYt-Y
qL-WKr15sTI,11982,92,56,0,68,qL-WKr15sTI
FmiJgSRrkc4,980050,4672,362,0,2437,FmiJgSRrkc4
Gq9dH9JvuWA,5076,81,26,0,31,Gq9dH9JvuWA
vDzw7WlW6Ps,92626,510,58,0,154,vDzw7WlW6Ps
Dw2Koxwewc4,4453,71,12,0,58,Dw2Koxwewc4
m-lcLpaHFdU,51374,241,41,0,52,m-lcLpaHFdU
7hhgnEVc3mg,33771,210,29,0,46,7hhgnEVc3mg
gWYF0VYHaoU,10392,139,49,0,113,gWYF0VYHaoU
A5gY576Ci5w,181508,709,135,0,251,A5gY576Ci5w
oXk-vNerAuI,16178,257,17,0,76,oXk-vNerAuI
Nllto1UidM0,71463,601,40,0,350,Nllto1UidM0
NlGyDEfETjM,102404,1091,44,0,131,NlGyDEfETjM
Ig4mM4VFhcY,16888,340,8,0,134,Ig4mM4VFhcY
SU7QUBCGBuI,379732,1703,101,0,686,SU7QUBCGBuI
j_0PZQZ6cSw,1874,34,8,0,5,j_0PZQZ6cSw
CBzbkqhd5_E,21744,182,39,0,60,CBzbkqhd5_E
JlTwC9GbDuM,425,0,0,0,2,JlTwC9GbDuM
xG9OT5yjt5M,15433,33,10,0,4,xG9OT5yjt5M
Yq_dAvdAOQw,268,6,1,0,1,Yq_dAvdAOQw
fs_4ARC5jXg,15575,116,12,0,47,fs_4ARC5jXg
v5AhR864yF4,110189,540,39,0,77,v5AhR864yF4
YXBhIqvDpKA,3482,31,53,0,54,YXBhIqvDpKA
jop31GcussI,132352,471,111,0,128,jop31GcussI
ZpZLydMJC30,16111,199,12,0,38,ZpZLydMJC30
ABj3X7koiVg,2165,8,7,0,19,ABj3X7koiVg
fOLZQftbrpA,11955,388,4,0,41,fOLZQftbrpA
M7A0evTKwns,884,3,0,0,0,M7A0evTKwns
JuKgsPOacyI,43400,189,18,0,29,JuKgsPOacyI
5EW0A0pHXdA,547,3,2,0,3,5EW0A0pHXdA
V5Uy30CSNZg,831,2,1,0,2,V5Uy30CSNZg
vQAGfHslA0U,8322,68,23,0,80,vQAGfHslA0U
VGt2cEm4Vgw,54175,604,69,0,351,VGt2cEm4Vgw
1mp8HxhzBBE,8721,92,15,0,16,1mp8HxhzBBE
N_zx7_kr9ik,284,0,0,0,2,N_zx7_kr9ik
hGGP_zmwS0o,9355,120,12,0,54,hGGP_zmwS0o
i2PiWRADy58,10069,104,2,0,191,i2PiWRADy58
0b0i2xnaYcw,25352,134,12,0,41,0b0i2xnaYcw
FjNFos7_5bQ,1259,1,1,0,6,FjNFos7_5bQ
vx1csFPWQtY,1430,34,1,0,5,vx1csFPWQtY
wwI7bXewc_Q,1889,28,2,0,9,wwI7bXewc_Q
otUtyfvs4Zc,1084,10,8,0,8,otUtyfvs4Zc
5NSlmsrLJyg,7407,48,50,0,75,5NSlmsrLJyg
ZN-7MJ7x9UY,206,4,0,0,2,ZN-7MJ7x9UY
Ek_Ru2EDYaM,2226,1,2,0,1,Ek_Ru2EDYaM
F8vsfoxXHH0,1110,NA,NA,0,2,F8vsfoxXHH0
FQAtDerMmBI,555,1,1,0,0,FQAtDerMmBI
Knu5KdcpML4,8715,76,2,0,32,Knu5KdcpML4
2NY6kyO7EH0,276,3,0,0,3,2NY6kyO7EH0
ikSMlBUv84U,204,0,0,0,3,ikSMlBUv84U
vpxhXrj9Gl8,139732,572,34,0,168,vpxhXrj9Gl8
JlorkiaaFYI,6264,284,3,0,47,JlorkiaaFYI
AG2NlI3xqUw,2384,14,12,0,5,AG2NlI3xqUw
CxdwnYRbAB0,1808,12,2,0,0,CxdwnYRbAB0
sX12kiSNn2s,28825,176,16,0,47,sX12kiSNn2s
0EF498Jh9-o,3393,25,5,0,39,0EF498Jh9-o
VVLN8dWkLcU,1074,32,2,0,16,VVLN8dWkLcU
2vH9k43KdZw,2959,6,1,0,1,2vH9k43KdZw
yekR51bHWJs,278,0,0,0,2,yekR51bHWJs
cBZBpQuUYBU,438,0,0,0,5,cBZBpQuUYBU
ekP2uG5-T6c,2535,6,0,0,8,ekP2uG5-T6c
NJHezqszrw8,71,0,0,0,0,NJHezqszrw8
UTuBnGgfdFc,20573,118,15,0,22,UTuBnGgfdFc
e0-zZ4RSH60,5640,37,7,0,4,e0-zZ4RSH60
XH6g_QWaRuE,31108,145,22,0,57,XH6g_QWaRuE
8KlMNWrP8fI,2445,4,5,0,3,8KlMNWrP8fI
z18yO3yVGF4,61,0,0,0,1,z18yO3yVGF4
IfmwCy9PM_0,513,7,1,0,0,IfmwCy9PM_0
a16jADCL6Hg,354,0,1,0,6,a16jADCL6Hg
dK6GO4jlENg,31,NA,NA,0,0,dK6GO4jlENg
Q_pYk1n5M24,158,0,0,0,0,Q_pYk1n5M24
Sk1qOguzllo,1344,7,3,0,5,Sk1qOguzllo
PTUpIl0IK8E,146,0,0,0,0,PTUpIl0IK8E
1DrfoL_n1vg,1790,12,1,0,3,1DrfoL_n1vg
YARx-O8Dyqc,8080,169,4,0,12,YARx-O8Dyqc
W8WluiFW-Ho,13244,NA,NA,0,34,W8WluiFW-Ho
PLDMAK96UiI,98,1,1,0,0,PLDMAK96UiI
EEiSJSPy2-U,281,0,4,0,1,EEiSJSPy2-U
IuFGvlaqv7U,540,3,1,0,0,IuFGvlaqv7U
2pEG90F4ff8,10302,236,8,0,72,2pEG90F4ff8
AyOfLDg84TM,3954,36,8,0,18,AyOfLDg84TM
zQHCknYXYUg,735,2,3,0,5,zQHCknYXYUg
anKHKTaX25M,20,2,0,0,0,anKHKTaX25M
Di-c5QhqmdE,23756,126,27,0,NA,Di-c5QhqmdE
FAPVQUywP20,1593,15,1,0,0,FAPVQUywP20
xxG4I2t8qCE,1312,6,2,0,4,xxG4I2t8qCE
n-qNPLPF7us,1806,9,0,0,4,n-qNPLPF7us
WH-i9rRyDlc,768,12,4,0,7,WH-i9rRyDlc
kI4WmQFmRE4,90,0,0,0,0,kI4WmQFmRE4
Q0HaqB8dKJg,140,0,0,0,0,Q0HaqB8dKJg
zpQmEq8nbRg,3241,39,4,0,9,zpQmEq8nbRg
xtTDbca06f0,39241,37,43,0,28,xtTDbca06f0
m7UdfU9dHAI,677,0,3,0,0,m7UdfU9dHAI
XAHyK1hx4Nk,2245,51,4,0,2,XAHyK1hx4Nk
PUGKa8U8DNA,33317,355,23,0,74,PUGKa8U8DNA
9ct9tUtSK48,494,0,0,0,4,9ct9tUtSK48
ciDjdkBmEOM,1960,22,3,0,14,ciDjdkBmEOM
oLMm8wHf77M,154,8,0,0,0,oLMm8wHf77M
ZG6gJmuMUL4,954,9,2,0,9,ZG6gJmuMUL4
M1lb4HqrUI4,29,0,0,0,0,M1lb4HqrUI4
QmOFVLtPhB0,165,1,0,0,0,QmOFVLtPhB0
s_YPvGNfg6c,1869,11,9,0,8,s_YPvGNfg6c
9uUyhA06X0o,185,2,1,0,0,9uUyhA06X0o
SOvBjYrdAWs,19663,250,13,0,102,SOvBjYrdAWs
geE8VkMNJSQ,7265,81,12,0,45,geE8VkMNJSQ
0TG3JxAr84c,95,1,0,0,0,0TG3JxAr84c
58tHz-VhgEU,631,3,0,0,4,58tHz-VhgEU
ZLg4s-U3j2g,415,1,1,0,0,ZLg4s-U3j2g
ioavRoQ6lWw,9470,106,16,0,9,ioavRoQ6lWw
rOUlGhZT5yE,2108,NA,NA,0,7,rOUlGhZT5yE
QN42LYTtUbg,306,4,0,0,0,QN42LYTtUbg
fzazQPtiatg,2766,30,1,0,19,fzazQPtiatg
bcj5516zZGU,1709,29,1,0,8,bcj5516zZGU
nyQtGPfVeGs,990,30,1,0,8,nyQtGPfVeGs
cMhNA27SBcE,8476,28,10,0,5,cMhNA27SBcE
ORxYnQKTp9c,390,0,0,0,2,ORxYnQKTp9c
_fQvLEuIRzE,212,NA,NA,0,NA,_fQvLEuIRzE
MuWOUbermHM,468,4,1,0,0,MuWOUbermHM
_a1khwFN0Lk,24483,177,22,0,NA,_a1khwFN0Lk
Kri6IuqLa4o,754,8,1,0,9,Kri6IuqLa4o
c3P5vTfVqOg,6091,NA,NA,0,20,c3P5vTfVqOg
A6V9VgSbi_8,49,1,0,0,1,A6V9VgSbi_8
M1JdQjl9TrI,63,2,0,0,0,M1JdQjl9TrI
hMJoExrXY14,8721,144,7,0,66,hMJoExrXY14
_RnES-YSjco,115,2,0,0,0,_RnES-YSjco
FGSzC2fz7uU,841,27,0,0,0,FGSzC2fz7uU
tCFpQPLdNM0,330,24,0,0,3,tCFpQPLdNM0
jHnm1-83nyQ,562,4,1,0,0,jHnm1-83nyQ
7nz1wO6nzcU,664,12,1,0,0,7nz1wO6nzcU
6QAH3nYtOe4,245,1,0,0,0,6QAH3nYtOe4
